Asal Sekolah,Psikotest,TPA,IPS,Status
10,103,41,1.82,Ya
3,97,39.5,1.6,Ya
7,103,38.25,1.94,Ya
9,100,70,1.83,Ya
11,100,70,1.84,Ya
4,101,65.8,1.77,Ya
12,98,47.3,1.72,Ya
4,100,53.4,1.89,Ya
3,100,47.2,1.78,Ya
3,98,45.4,1.78,Ya
14,99,40.75,1.83,Ya
15,101,62,1.89,Ya
16,100,49.2,1.94,Ya
8,98,70,1.78,Ya
3,100,70,1.83,Ya
17,100,51.4,1.83,Ya
18,98,48,1.58,Ya
1,100,46,1.57,Ya
5,98,45,1.62,Ya
5,97,45.6,1.45,Ya
19,96,49.6,1.84,Ya
20,96,49,1.3,Ya
21,98,48.9,1.38,Ya
20,97,48,1.95,Ya
8,96,39,1.73,Ya
8,100,77,1.6,Ya
22,99,67,1.89,Ya
6,104,59,1.84,Ya
6,98,57,1.89,Ya
6,100,64,1.95,Ya
8,96,56,1.67,Ya
1,104,59,1.89,Ya
6,102,50,1.94,Ya
8,104,52,1.95,Ya
23,102,61,1.71,Ya
24,99,38,1.82,Ya
2,100,61,1.94,Ya
6,101,53,1.83,Ya
3,98,41.25,1.11,Ya
4,97,67.40,1.89,Ya
24,96,64,1.94,Ya
8,103,60,1.88,Ya
25,105,70,1.72,Ya
24,107,57,1.44,Ya
26,103,61.4,1.89,Ya
27,98,43.6,1.39,Ya
7,101,53.8,1.72,Ya
28,100,60.2,1.84,Ya
29,97,48,1.44,Ya
30,98,54.4,1.94,Ya
23,96,57.8,1.94,Ya
21,99,54,1.72,Ya
31,98,41,1.89,Ya
32,100,42.2,1.5,Ya
13,98,71,1.83,Ya
33,98,38.75,2,Tidak
24,98,75,1.78,Ya
6,100,76,1.5,Ya
22,99,56,1.88,Ya
6,103,46,1.83,Ya
6,98,45,1.88,Ya
6,100,63.41,1.94,Ya
34,96,56.11,1.67,Ya
1,103,49.78,1.89,Ya
6,101,49.6,1.94,Ya
6,103,51.4,1.94,Ya
23,101,60,1.61,Ya
24,98,37,1.72,Ya
24,99,49.4,1.67,Ya
35,115,52.2,1.89,Ya
36,93,48.8,1.83,Ya
37,87,48.2,1.94,Ya
38,104,45.8,1.83,Ya
39,113,47.2,1.94,Ya
2,113,47,1.11,Ya
40,109,48.8,1.89,Ya
3,103,47.8,1.99,Ya
41,90,41.6,1.88,Ya
42,91,49.4,1.72,Ya
43,88,41.6,1.44,Ya
44,90,56.8,1.5,Ya
45,100,69,1.5,Ya
46,98,62.8,1.44,Ya
35,98,52.2,1.89,Ya
44,98,51,1.83,Ya
37,100,32.5,1.94,Ya
38,103,45.8,1.83,Ya
38,100,45,1.11,Ya
44,98,43.4,1.89,Ya
3,101,40.4,1.94,Ya
41,100,49.6,1.88,Ya
42,100,49.4,1.72,Ya
43,98,46.8,1.44,Ya
1,100,49.6,1.89,Ya
47,98,67,1.39,Ya
48,100,59.2,1.83,Ya
49,103,58.2,1.89,Ya
36,100,53.8,1.5,Ya
38,100,51.4,1.89,Ya
1,101,54,1.67,Ya
24,100,46,1.94,Ya
27,101,46.5,1.56,Ya
50,103,46.2,1.67,Ya
44,98,67,1.39,Ya
36,100,51.4,1.83,Ya
44,98,67,1.89,Ya
44,108,30.75,1.39,Ya
1,100,33.25,1.39,Ya
44,98,37.75,1.79,Ya
1,98,39.75,1.89,Ya
38,100,34.25,1.5,Ya
38,100,38.25,1.94,Ya
36,98,40,1.61,Ya
3,103,39.75,1.72,Ya
53,101,49.8,1.88,Ya
1,98,31.5,1.88,Ya
51,98,48,1.61,Ya
1,98,33.5,1.38,Ya
52,100,54,1.61,Ya
38,103,39.75,1.66,Ya
54,100,61.6,1.61,Ya
55,98,32.5,1.66,Ya
1,98,47.2,1.5,Ya
1,100,49.8,1.61,Ya
3,98,40,1.94,Ya
3,103,39.75,1.56,Ya
19,97,45.4,1.89,Ya
56,97,49,1.78,Ya
1,98,44,1.44,Ya
1,100,45,1.78,Ya
57,97,41,1.89,Ya
5,98,40,1.89,Ya
18,98,47,1.56,Ya
1,100,45,1.56,Ya
5,98,44,1.61,Ya
5,97,44.6,1.44,Ya
19,96,48.4,1.83,Ya
20,96,48.6,1.28,Ya
21,98,48.6,1.28,Ya
20,97,47,1.94,Ya
8,96,38.6,1.72,Ya
6,100,76,1.5,Ya
22,99,56,1.88,Ya
6,103,46,1.83,Ya
6,98,56,1.88,Ya
6,100,63.41,1.94,Ya
34,96,56.11,1.67,Ya
1,103,49.78,1.89,Ya
6,101,49.6,1.94,Ya
6,103,51.4,1.94,Ya
23,101,60,1.61,Ya
24,98,37,1.72,Ya
24,99,49.4,1.67,Ya
35,115,52.2,1.89,Ya
36,93,48.8,1.83,Ya
37,87,48.2,1.94,Ya
38,104,45.8,1.83,Ya
27,101,46.5,1.56,Ya
50,103,46.2,1.67,Ya
44,98,67,1.39,Ya
36,100,51.4,1.83,Ya
44,98,67,1.89,Ya
44,108,30.75,1.39,Ya
1,100,33.25,1.39,Ya
44,98,37.75,1.79,Ya
1,98,39.75,1.89,Ya
38,100,34.25,1.5,Ya
38,100,38.25,1.94,Ya
36,98,40,1.61,Ya
3,103,39.75,1.72,Ya
53,101,49.8,1.88,Ya
44,98,67,1.39,Ya
36,100,51.4,1.83,Ya
44,98,67,1.89,Ya
44,108,30.75,1.39,Ya
1,100,33.25,1.39,Ya
58,119,51.88,1.28,Ya
3,103,54.38,1.94,Ya
59,118,46.88,1.72,Ya
60,118,51.75,1.5,Ya
10,103,41,1.88,Ya
7,109,36.25,1.83,Ya
61,115,36.25,1.88,Ya
62,97,43.25,1.94,Ya
